Gender,Age,Connect_Date,L_O_S,Dropped_Calls,tariff,Handset,Peak_calls_Sum,Peak_mins_Sum,OffPeak_calls_Sum,OffPeak_mins_Sum,Weekend_calls_Sum,Weekend_mins_Sum,International_mins_Sum,Nat_call_cost_Sum,AvePeak,AveOffPeak,AveWeekend,National_calls,National mins,AveNational,All_calls_mins,Dropped_calls_ratio,Usage_Band,Mins_charge,call_cost_per_min,actual call cost,Total_call_cost,Total_Cost,Tariff_OK,average cost min,Peak ratio,OffPeak ratio,Weekend ratio,Nat-InterNat Ratio,high Dropped calls,No Usage,target,id
F,30.0,12/06/99,16.266667,2.0,Play 100,WC95,7.0,94.199998,172.0,351.300001,28.0,84.0,24.023597,0.0,13.457143,2.042442,3.0,207.0,529.499999,2.557971,553.523596,0.004830917874,Med,-70.500001,8.558074,0.0,9.609439,69.549439,OK,0.125649,0.177904,0.663456,0.15864,0.04537,F,F,0,K386430
M,33.0,07/07/97,39.766667,2.0,CAT 200,S50,411.0,1232.399999,143.0,410.1,3.0,5.4,23.715916,39.143345,2.99854,2.867832,1.8,557.0,1647.899999,2.958528,1671.615915,0.001795332136,MedHigh,447.899999,8.739305,39.143345,46.25812,196.25812,OK,0.117406,0.747861,0.248862,0.003277,0.014392,F,F,0,K321120
M,24.0,24/05/98,29.066667,11.0,Play 300,ASAD170,40.0,248.4,8.0,561.300001,16.0,44.4,180.515978,0.0,6.21,70.1625,2.775,64.0,854.100001,13.345313,1034.615979,0.0859375,Med,-945.899999,8.689146,0.0,72.206391,150.146391,OK,0.145123,0.290832,0.657183,0.051985,0.211352,F,F,0,K210240
M,42.0,23/07/96,51.4,0.0,CAT 200,S50,291.0,807.599999,18.0,267.9,1.0,44.4,359.856096,0.0,2.775258,14.883333,44.4,310.0,1119.899999,3.612581,1479.756095,0.0,Med,-80.100001,8.605679,0.0,107.956829,257.956829,OK,0.174324,0.721136,0.239218,0.039646,0.321329,F,F,0,K126220
M,40.0,02/08/99,14.566667,0.0,CAT 100,S50,38.0,361.8,2.0,87.3,14.0,66.599999,77.905136,0.0,9.521053,43.65,4.757143,54.0,515.699999,9.55,593.605135,0.0,Med,-84.300001,12.015707,0.0,23.371541,128.371541,OK,0.216257,0.701571,0.169284,0.129145,0.151067,F,F,0,K347710
F,20.0,09/12/96,46.766667,2.0,CAT 100,ASAD170,168.0,399.6,13.0,169.799999,13.0,30.0,195.544303,0.0,2.378571,13.061538,2.307692,194.0,599.399999,3.089691,794.944302,0.005154639175,Med,-0.600001,11.666667,0.0,58.663291,163.663291,OK,0.20588,0.666667,0.283283,0.05005,0.326233,F,F,0,K166630
M,19.0,03/10/96,49.0,0.0,Play 100,BS210,62.0,100.8,11.0,527.700001,16.0,47.4,123.949792,6.058862,1.625806,47.972727,2.9625,89.0,675.900001,7.594382,799.849793,0.0,Med,75.900001,7.98269,6.058862,55.638778,115.578778,OK,0.144501,0.149134,0.780737,0.070129,0.183385,F,F,0,K260710
M,21.0,28/12/97,33.966667,0.0,CAT 200,S50,97.0,1149.0,181.0,524.400001,1.0,27.0,526.539677,41.926597,11.845361,2.897238,27.0,279.0,1700.400001,6.094624,2226.939678,0.0,MedHigh,500.400001,8.378617,41.926599,199.888502,349.888502,OK,0.157116,0.675723,0.308398,0.015879,0.309656,F,F,1,K196720
F,24.0,17/02/99,20.1,0.0,CAT 200,WC95,543.0,1408.799999,38.0,228.3,15.0,29.0,73.192062,43.010951,2.594475,6.007895,1.933333,596.0,1666.099999,2.79547,1739.292061,0.0,MedHigh,466.099999,9.227837,43.01095,64.968569,214.968569,OK,0.123595,0.845567,0.137027,0.017406,0.04393,F,F,0,K311470
F,18.0,06/11/97,35.7,1.0,CAT 100,BS110,41.0,444.6,20.0,246.899999,0.0,0.0,55.589873,12.47921,10.843902,12.345,0.0,61.0,691.499999,11.336066,747.089872,0.008196721311,Med,91.499999,11.429501,10.457993,27.134955,132.134955,OK,0.176866,0.64295,0.35705,0.0,0.08039,F,F,0,K244940
M,19.0,27/12/97,34.0,2.0,CAT 50,BS110,65.0,216.0,9.0,25.799999,32.0,103.200001,27.10138,5.06739,3.323077,2.866667,3.225,106.0,345.0,3.254717,372.10138,0.009433962264,MedLow,45.0,11.26087,5.067391,13.197805,96.597805,OK,0.259601,0.626087,0.074783,0.29913,0.078555,F,F,0,K374560
F,24.0,15/04/96,54.7,2.0,CAT 200,WC95,514.0,916.2,80.0,146.4,11.0,33.0,94.450331,0.0,1.78249,1.83,3.0,605.0,1095.6,1.810909,1190.050331,0.001652892562,Med,-104.4,9.181271,0.0,28.335099,178.335099,OK,0.149855,0.836254,0.133625,0.03012,0.086209,F,F,0,K307630
M,46.0,01/05/97,42.0,0.0,CAT 200,S80,1042.0,1713.0,224.0,883.8,4.0,87.0,203.689542,121.543556,1.643954,3.945536,21.75,1270.0,2683.8,2.113228,2887.489542,0.0,High,1483.8,8.19137,121.543555,182.650417,332.650417,OK,0.115204,0.638274,0.329309,0.032417,0.075896,F,F,0,K111430
F,20.0,01/09/96,50.066667,0.0,Play 100,S50,13.0,39.600001,59.0,214.199999,34.0,81.0,80.269317,0.0,3.046154,3.630508,2.382353,106.0,334.8,3.158491,415.069317,0.0,MedLow,-265.2,7.365591,0.0,32.107727,92.047727,OK,0.221765,0.11828,0.639785,0.241935,0.239753,F,F,0,K231970
F,16.0,25/07/99,14.833333,2.0,Play 100,BS210,12.0,172.199999,3.0,219.6,46.0,71.4,150.672809,0.0,14.35,73.2,1.552174,61.0,463.199999,7.593443,613.872808,0.01639344262,MedLow,-136.800001,12.435233,0.0,60.269124,120.209124,OK,0.195821,0.371762,0.474093,0.154145,0.325287,F,F,0,K271390
M,34.0,20/12/98,22.066667,1.0,Play 100,ASAD170,165.0,290.400001,92.0,369.3,17.0,49.5,182.360702,14.402945,1.76,4.01413,2.911765,274.0,709.200001,2.588321,891.560703,0.001824817518,Med,109.200001,13.189509,14.402944,87.347225,147.287225,OK,0.165202,0.409475,0.520728,0.069797,0.257136,F,F,0,K156020
F,26.0,22/02/96,56.466667,2.0,CAT 200,S80,221.0,636.0,75.0,375.599999,7.0,60.599999,272.450448,0.0,2.877828,5.008,8.657143,303.0,1072.199998,3.538614,1344.650446,0.003300330033,Med,-127.800002,7.965865,0.0,81.735134,231.735134,OK,0.172339,0.593173,0.350308,0.056519,0.254104,F,F,0,K130240
M,23.0,01/06/96,53.133333,2.0,CAT 200,S50,307.0,1107.0,13.0,52.500001,3.0,29.4,31.993299,0.0,3.605863,4.038462,9.8,323.0,1188.900001,3.680805,1220.8933,0.003095975232,Med,-11.099999,9.655564,0.0,9.59799,159.59799,OK,0.130722,0.931113,0.044158,0.024729,0.02691,F,F,0,K325100
F,46.0,24/06/96,52.366667,0.0,CAT 50,WC95,39.0,177.0,11.0,19.8,0.0,0.0,41.734587,0.0,4.538462,1.8,0.0,50.0,196.8,3.936,238.534587,0.0,MedLow,-103.2,13.993902,0.0,12.520376,95.920376,OK,0.402124,0.89939,0.10061,0.0,0.212066,F,F,0,K334350
F,27.0,05/08/96,50.966667,9.0,Play 100,BS210,63.0,133.799999,222.0,434.100001,19.0,32.0,149.905612,0.0,2.12381,1.955405,1.684211,304.0,599.9,1.973355,749.805612,0.01480263158,Med,-0.1,9.460743,0.0,59.962245,119.902245,OK,0.159911,0.223037,0.723621,0.053342,0.249884,F,F,0,K263930
M,59.0,09/01/99,21.4,1.0,CAT 200,S50,702.0,1621.8,115.0,321.900001,2.0,42.6,450.936075,71.415421,2.310256,2.79913,21.3,819.0,1986.300001,2.425275,2437.236076,0.0006105006105,High,786.300001,9.082465,71.415421,206.696244,356.696244,OK,0.146353,0.816493,0.16206,0.021447,0.227023,F,F,0,K120290
F,36.0,15/01/96,57.733333,5.0,Play 100,CAS60,53.0,118.799999,56.0,483.0,3.0,55.0,95.245024,4.894762,2.241509,8.625,18.333333,112.0,656.799999,5.864286,752.045023,0.02232142857,Med,56.799999,8.61754,4.894762,42.992772,102.932772,OK,0.13687,0.180877,0.735384,0.083739,0.145014,F,F,0,K378390
M,34.0,18/09/96,49.5,2.0,Play 300,S80,177.0,469.2,386.0,582.9,48.0,106.0,29.86984,0.0,2.650847,1.510104,2.208333,611.0,1158.1,1.895417,1187.96984,0.001636661211,Med,-641.9,11.318366,0.0,11.947936,89.887936,OK,0.075665,0.405146,0.503324,0.091529,0.025792,F,F,0,K389740
F,27.0,15/07/97,39.5,6.0,CAT 200,WC95,304.0,808.800002,215.0,579.0,10.0,26.0,124.743911,16.805486,2.660526,2.693023,2.6,529.0,1413.800002,2.67259,1538.543913,0.005671077505,MedHigh,213.800002,7.860376,16.805485,54.228658,204.228658,OK,0.132742,0.572075,0.409535,0.01839,0.088233,F,F,0,K313730
F,37.0,01/09/97,37.9,1.0,CAT 200,S50,347.0,1231.799999,138.0,286.499999,21.0,39.499999,379.198004,32.03617,3.549856,2.076087,1.880952,506.0,1557.799997,3.078656,1936.998001,0.0009881422925,MedHigh,357.799997,8.953653,32.036169,145.79557,295.79557,OK,0.152708,0.790731,0.183913,0.025356,0.243419,F,F,0,K152140
F,32.0,19/11/98,23.1,1.0,CAT 100,WC95,111.0,563.4,52.0,126.3,11.0,52.799999,116.339695,17.937727,5.075676,2.428846,4.8,174.0,742.499999,4.267241,858.839694,0.002873563218,Med,142.499999,12.587879,17.937727,52.839636,157.839636,OK,0.183782,0.758788,0.170101,0.071111,0.156686,F,F,0,K350580
M,50.0,23/07/99,14.9,2.0,CAT 100,BS110,20.0,445.8,14.0,66.600001,10.0,37.0,155.683746,0.0,22.29,4.757143,3.7,44.0,549.400001,12.486364,705.083747,0.02272727273,Med,-50.599999,13.114307,0.0,46.705124,151.705124,OK,0.215159,0.811431,0.121223,0.067346,0.28337,F,F,1,K235010
F,40.0,21/01/96,57.533333,1.0,Play 300,S80,33.0,335.4,151.0,481.5,0.0,0.0,122.963665,0.0,10.163636,3.188742,0.0,184.0,816.9,4.439674,939.863665,0.002717391304,Med,-983.1,11.443261,0.0,49.185466,127.125466,OK,0.135259,0.410577,0.589423,0.0,0.150525,F,F,0,K278660
F,30.0,14/01/96,57.766667,2.0,CAT 100,ASAD90,53.0,423.0,171.0,343.5,8.0,24.0,201.585822,19.718738,7.981132,2.008772,3.0,232.0,790.5,3.407328,992.085822,0.004310344828,Med,190.5,10.351044,19.718738,80.194485,185.194485,OK,0.186672,0.535104,0.434535,0.030361,0.255011,F,F,1,K106910
F,24.0,13/07/98,27.4,2.0,CAT 200,ASAD170,619.0,1212.0,308.0,569.1,14.0,29.400001,388.63396,50.9593,1.957997,1.847727,2.1,941.0,1810.500001,1.924017,2199.133961,0.001062699256,MedHigh,610.500001,8.347142,50.9593,167.549488,317.549488,OK,0.144398,0.669428,0.314333,0.016239,0.214656,F,F,0,K182490
F,71.0,17/06/96,52.6,2.0,CAT 50,WC95,95.0,259.199999,46.0,96.600001,5.0,30.600001,38.148104,10.115776,2.728421,2.1,6.12,146.0,386.400001,2.646575,424.548105,0.006849315068,MedLow,86.400001,11.708074,10.115776,21.560208,104.960208,OK,0.247228,0.670807,0.25,0.079193,0.098727,F,F,0,K329940
M,45.0,14/10/98,24.3,6.0,Play 100,S50,24.0,58.2,38.0,109.5,1.0,38.4,31.757495,0.0,2.425,2.881579,38.4,63.0,206.1,3.271429,237.857495,0.04761904762,MedLow,-393.9,10.647744,0.0,12.702998,72.642998,OK,0.305406,0.282387,0.531295,0.186317,0.154088,F,F,1,K214950
M,38.0,07/06/98,28.6,12.0,CAT 200,BS110,66.0,715.8,32.0,343.499999,3.0,22.8,38.567831,0.0,10.845455,10.734375,7.6,101.0,1082.099999,10.713861,1120.66783,0.05940594059,Med,-117.900001,8.307458,0.0,11.570349,161.570349,OK,0.144173,0.661492,0.317438,0.02107,0.035642,T,F,1,K408070
F,48.0,05/05/96,54.033333,0.0,Play 300,ASAD170,190.0,358.200001,269.0,513.599999,1.0,9.0,199.616033,0.0,1.885263,1.909294,9.0,460.0,880.8,1.914783,1080.416033,0.0,Med,-919.2,11.353542,0.0,79.846413,157.786413,OK,0.146042,0.406676,0.583106,0.010218,0.22663,F,F,0,K157200
F,20.0,28/03/96,55.3,8.0,CAT 200,WC95,363.0,671.399999,13.0,501.9,1.0,18.0,74.613689,0.0,1.849587,38.607692,18.0,377.0,1191.299999,3.159947,1265.913688,0.01061007958,Med,-8.700001,7.81793,0.0,22.384107,172.384107,OK,0.136174,0.563586,0.421304,0.01511,0.062632,F,F,0,K310610
F,40.0,03/08/98,26.7,2.0,CAT 100,S50,280.0,651.6,63.0,291.6,9.0,17.4,247.700943,42.490437,2.327143,4.628571,1.933333,352.0,960.6,2.728977,1208.300943,0.002840909091,Med,360.6,11.78326,42.490437,116.80072,221.80072,OK,0.183564,0.678326,0.30356,0.018114,0.257861,F,F,0,K104040
F,17.0,14/09/97,37.466667,2.0,CAT 200,ASAD90,687.0,1197.0,162.0,390.600001,18.0,40.8,373.996892,37.165357,1.742358,2.411111,2.266667,867.0,1628.400001,1.878201,2002.396893,0.001153402537,MedHigh,428.400001,8.675387,37.165357,149.364425,299.364425,OK,0.149503,0.735077,0.239867,0.025055,0.229671,F,F,1,K173740
M,50.0,22/12/96,46.333333,2.0,CAT 100,S50,75.0,558.6,63.0,288.900001,2.0,5.4,58.3323,29.208481,7.448,4.585714,2.7,140.0,852.900001,6.092143,911.232301,0.007142857143,Med,252.900001,11.54942,29.208482,46.708172,151.708172,OK,0.166487,0.654942,0.338727,0.006331,0.068393,F,F,0,K294810
M,20.0,11/03/98,31.533333,0.0,CAT 200,S50,70.0,912.6,53.0,283.8,15.0,56.5,45.841526,4.571592,13.037143,5.354717,3.766667,138.0,1252.9,9.078986,1298.741526,0.0,Med,52.9,8.641951,4.571592,18.32405,168.32405,OK,0.129606,0.72839,0.226514,0.045095,0.036588,F,F,0,K369180
M,27.0,26/08/98,25.933333,4.0,Play 300,BS210,227.0,528.0,65.0,468.6,29.0,73.2,152.603948,0.0,2.325991,7.209231,2.524138,321.0,1069.8,3.33271,1222.403948,0.006230529595,Med,-730.2,13.351655,0.0,61.041579,138.981579,OK,0.113695,0.49355,0.438026,0.068424,0.142647,F,F,0,K276030
M,57.0,21/07/99,14.966667,2.0,Play 100,S50,26.0,58.199999,43.0,189.6,10.0,62.4,89.391877,0.0,2.238462,4.409302,6.24,79.0,310.199999,3.926582,399.591876,0.01265822785,MedLow,-289.800001,8.752418,0.0,35.756751,95.696751,OK,0.239486,0.187621,0.611219,0.201161,0.288175,F,F,1,K217550
M,60.0,27/01/97,45.133333,3.0,CAT 200,ASAD170,494.0,1017.0,46.0,242.7,25.0,52.2,372.50684,9.932308,2.058704,5.276087,2.088,565.0,1311.9,2.321947,1684.40684,0.002654867257,MedHigh,111.9,8.876058,9.932308,121.68436,271.68436,OK,0.161294,0.775212,0.184999,0.03979,0.283945,F,F,0,K111840
M,20.0,11/05/98,29.5,2.0,Play 300,ASAD170,24.0,471.0,6.0,532.8,0.0,0.0,276.66688,0.0,19.625,88.8,0.0,30.0,1003.8,33.46,1280.46688,0.03333333333,Med,-796.2,12.79199,0.0,110.666752,188.606752,OK,0.147295,0.469217,0.530783,0.0,0.27562,F,F,0,K209210
F,28.0,24/01/99,20.9,11.0,Play 300,BS110,38.0,356.4,2.0,395.7,19.0,83.4,41.760763,0.0,9.378947,197.85,4.389474,59.0,835.5,14.161017,877.260763,0.09322033898,Med,-964.5,11.811131,0.0,16.704305,94.644305,OK,0.107886,0.426571,0.473609,0.09982,0.049983,F,F,0,K249060
M,26.0,19/07/96,51.533333,2.0,Play 100,S80,3.0,73.8,86.0,505.5,12.0,157.200001,98.584379,9.560559,24.6,5.877907,13.1,101.0,736.500001,7.292079,835.08438,0.009900990099,Med,136.500001,7.004073,9.56056,48.994312,108.934312,OK,0.130447,0.100204,0.686354,0.213442,0.133855,F,F,0,K385200
M,12.0,19/12/99,9.933333,2.0,CAT 100,S50,244.0,711.599999,35.0,189.0,33.0,54.0,173.078505,44.163414,2.916393,5.4,1.636364,312.0,954.599999,3.059615,1127.678504,0.003205128205,Med,354.599999,12.454431,44.163413,96.086964,201.086964,OK,0.178319,0.745443,0.197989,0.056568,0.18131,F,F,0,K344860
F,15.0,19/09/97,37.3,7.0,CAT 50,WC95,61.0,349.2,29.0,49.8,0.0,0.0,15.143764,17.627919,5.72459,1.717241,0.0,90.0,399.0,4.433333,414.143764,0.03888888889,MedLow,99.0,13.75188,13.614361,18.15749,101.55749,OK,0.245223,0.875188,0.124812,0.0,0.037954,F,F,0,K335930
M,28.0,22/01/97,45.3,0.0,CAT 200,CAS30,488.0,946.2,11.0,72.6,15.0,78.6,158.087979,0.0,1.938934,6.6,5.24,514.0,1097.4,2.135019,1255.487979,0.0,Med,-102.6,9.311099,0.0,47.426394,197.426394,OK,0.157251,0.86222,0.066156,0.071624,0.144057,F,F,1,K359800
M,64.0,18/10/97,36.333333,1.0,Play 100,BS210,23.0,140.4,15.0,167.4,8.0,30.0,106.476432,0.0,6.104348,11.16,3.75,46.0,337.8,7.343478,444.276432,0.01086956522,MedLow,-262.2,13.312611,0.0,42.590573,102.530573,OK,0.230781,0.415631,0.49556,0.08881,0.315206,F,F,0,K270710
F,26.0,11/07/99,15.3,2.0,Play 100,BS210,83.0,287.4,110.0,381.900001,41.0,70.199999,114.15669,17.818084,3.462651,3.471818,1.712195,234.0,739.5,3.160256,853.65669,0.004273504274,Med,139.5,12.772819,17.818083,63.480759,123.420759,OK,0.144579,0.388641,0.51643,0.094929,0.15437,F,F,0,K267820
F,23.0,14/11/98,23.266667,2.0,Play 100,WC95,92.0,344.4,81.0,330.6,2.0,47.0,26.962101,17.739001,3.743478,4.081481,23.5,175.0,722.0,4.125714,748.962101,0.005714285714,Med,122.0,14.540166,17.739003,28.523843,88.463843,OK,0.118115,0.477008,0.457895,0.065097,0.037344,F,F,0,K384660
M,33.0,27/07/99,14.766667,1.0,CAT 200,S50,477.0,854.399999,201.0,724.800001,21.0,36.0,159.691544,31.741516,1.791195,3.60597,1.714286,699.0,1615.2,2.31073,1774.891544,0.0007153075823,MedHigh,415.2,7.644874,31.741516,79.648979,229.648979,OK,0.129388,0.528975,0.448737,0.022288,0.098868,F,F,0,K306130
F,19.0,13/04/96,54.766667,9.0,CAT 200,WC95,254.0,799.200001,103.0,211.799999,0.0,0.0,50.827996,0.0,3.146457,2.056311,0.0,357.0,1011.0,2.831933,1061.827996,0.01260504202,Med,-189.0,8.952522,0.0,15.248399,165.248399,OK,0.155626,0.790504,0.209496,0.0,0.050275,F,F,0,K317070
M,12.0,10/02/97,44.666667,1.0,CAT 200,ASAD170,71.0,796.8,95.0,428.1,33.0,54.0,268.855871,6.402876,11.222535,4.506316,1.636364,199.0,1278.9,6.426633,1547.755871,0.002512562814,MedHigh,78.9,8.115177,6.402875,87.059636,237.059636,OK,0.153163,0.623035,0.334741,0.042224,0.210224,F,F,0,K196350
M,42.0,25/11/97,35.066667,1.0,CAT 200,S50,262.0,658.800001,94.0,429.299999,4.0,7.0,230.944318,0.0,2.514504,4.567021,1.75,360.0,1095.1,3.041944,1326.044318,0.001388888889,Med,-104.9,8.007944,0.0,69.283295,219.283295,OK,0.165366,0.601589,0.392019,0.006392,0.210889,F,F,0,K124880
M,57.0,07/08/97,38.733333,1.0,CAT 200,S50,797.0,1271.4,212.0,324.0,26.0,77.500001,393.770446,41.615144,1.595232,1.528302,2.980769,1035.0,1672.900001,1.616329,2066.670447,0.0004830917874,MedHigh,472.900001,8.799988,41.615144,159.746277,309.746277,OK,0.149877,0.759998,0.193676,0.046327,0.235382,F,F,0,K111230
F,28.0,16/06/96,52.633333,2.0,CAT 100,WC95,324.0,650.4,100.0,210.9,2.0,9.6,20.822182,33.776183,2.007407,2.109,4.8,426.0,870.9,2.044366,891.722182,0.00234741784,Med,270.9,12.468136,33.776182,40.022836,145.022836,OK,0.162632,0.746814,0.242163,0.011023,0.023909,F,F,0,K291940
M,52.0,18/09/97,37.333333,3.0,Play 100,BS110,21.0,98.4,76.0,144.300001,23.0,72.6,14.368762,0.0,4.685714,1.898684,3.156522,120.0,315.300001,2.6275,329.668763,0.0125,MedLow,-284.699999,11.241675,0.0,5.747505,65.687505,OK,0.199253,0.312084,0.457659,0.230257,0.045572,F,F,1,K231820
F,18.0,24/03/96,55.433333,2.0,CAT 100,BS110,106.0,480.599999,110.0,287.699999,14.0,22.8,16.715297,21.164488,4.533962,2.615455,1.628571,230.0,791.099998,3.439565,807.815295,0.004347826087,Med,191.099998,11.075085,21.164488,26.179077,131.179077,OK,0.162387,0.607509,0.363671,0.028821,0.021129,F,F,0,K297330
F,59.0,24/10/97,36.133333,2.0,CAT 100,WC95,99.0,717.600001,74.0,131.700001,13.0,21.0,149.327354,35.802403,7.248485,1.77973,1.615385,186.0,870.300002,4.679032,1019.627356,0.005376344086,Med,270.300002,13.245433,35.802405,80.600611,185.600611,OK,0.182028,0.824543,0.151327,0.02413,0.171581,F,F,0,K294550
F,47.0,07/03/98,31.666667,5.0,CAT 200,WC95,180.0,1280.4,101.0,569.7,42.0,83.4,42.644791,60.961874,7.113333,5.640594,1.985714,323.0,1933.5,5.986068,1976.144791,0.00773993808,MedHigh,733.5,8.311094,60.961874,73.755311,223.755311,OK,0.113228,0.662219,0.294647,0.043134,0.022056,F,F,0,K365660
M,35.0,18/04/97,42.433333,0.0,CAT 50,S50,126.0,286.2,53.0,89.1,15.0,32.4,131.814622,12.945397,2.271429,1.681132,2.16,194.0,407.7,2.101546,539.514622,0.0,MedLow,107.7,12.019868,12.945397,52.489784,135.889784,OK,0.251874,0.701987,0.218543,0.07947,0.323313,F,F,0,K328700
M,15.0,19/02/98,32.2,2.0,Play 100,S80,12.0,241.200001,60.0,260.4,10.0,20.0,60.221425,0.0,20.1,4.34,2.0,82.0,521.600001,6.360976,581.821426,0.01219512195,Med,-78.399999,14.248466,0.0,24.08857,84.02857,OK,0.144423,0.462423,0.499233,0.038344,0.115455,F,F,0,K382740
M,40.0,21/04/98,30.166667,2.0,Play 100,BS210,41.0,98.4,213.0,367.5,22.0,49.5,112.325646,0.0,2.4,1.725352,2.25,276.0,515.4,1.867391,627.725646,0.003623188406,Med,-84.6,8.818393,0.0,44.930258,104.870258,OK,0.167064,0.19092,0.713038,0.096042,0.217939,F,F,0,K266520
F,18.0,26/08/99,13.766667,1.0,CAT 50,CAS30,13.0,57.150426,4.0,15.11916,7.0,6.551636,6.217175,0.0,4.396187,3.77979,0.935948,24.0,78.821222,3.284218,85.038397,0.02083333333,Low,-221.178778,12.250639,0.0,1.865153,85.265152,OK,1.002667,0.725064,0.191816,0.08312,0.078877,F,F,0,K212000
M,32.0,13/07/97,39.566667,2.0,CAT 100,BS110,80.0,417.0,96.0,193.500001,0.0,0.0,142.78098,5.504446,5.2125,2.015625,0.0,176.0,610.500001,3.46875,753.280981,0.005681818182,Med,10.500001,11.830467,1.242199,44.076493,149.076493,OK,0.197903,0.683047,0.316953,0.0,0.233875,F,F,0,K301050
F,33.0,19/12/96,46.433333,11.0,Play 100,WC95,36.0,213.6,65.0,234.6,51.0,79.2,70.483637,0.0,5.933333,3.609231,1.552941,152.0,527.4,3.469737,597.883637,0.03618421053,Med,-72.6,13.100114,0.0,28.193455,88.133455,OK,0.147409,0.405006,0.444824,0.150171,0.133644,F,F,0,K382370
M,50.0,15/06/97,40.5,0.0,CAT 200,BS110,252.0,1112.4,47.0,212.100001,9.0,81.0,48.324974,18.407274,4.414286,4.512766,9.0,308.0,1405.500001,4.563312,1453.824975,0.0,MedHigh,205.500001,8.957311,18.407273,32.904765,182.904765,OK,0.125809,0.791462,0.150907,0.057631,0.034383,F,F,0,K363560
F,43.0,01/12/96,47.033333,1.0,CAT 200,WC95,455.0,990.599999,5.0,186.599999,18.0,35.0,17.176917,1.108487,2.177143,37.32,1.944444,478.0,1212.199998,2.535983,1229.376915,0.001046025105,Med,12.199998,9.085959,1.108487,6.261562,156.261562,OK,0.127106,0.817192,0.153935,0.028873,0.01417,F,F,0,K306890
M,19.0,17/03/99,19.166667,1.0,CAT 100,S50,97.0,584.400001,23.0,58.499999,27.0,44.0,162.008994,11.738268,6.024742,2.543478,1.62963,147.0,686.9,4.672789,848.908994,0.003401360544,Med,86.9,13.507789,11.738268,60.340967,165.340967,OK,0.194769,0.850779,0.085165,0.064056,0.235855,F,F,0,K292570
F,28.0,20/12/99,9.9,4.0,Play 300,S80,167.0,481.800001,300.0,592.499999,22.0,69.600001,313.779517,0.0,2.88503,1.975,3.163636,489.0,1143.900001,2.339264,1457.679518,0.00408997955,Med,-656.099999,11.687385,0.0,125.511807,203.451807,OK,0.139572,0.421191,0.517965,0.060844,0.274307,F,F,0,K164940
M,22.0,01/01/98,33.833333,0.0,CAT 50,BS110,8.0,338.4,3.0,7.8,4.0,11.4,55.667222,8.330739,42.3,2.6,2.85,15.0,357.6,23.84,413.267222,0.0,MedLow,57.6,14.463087,8.330738,25.030905,108.430905,OK,0.262375,0.946309,0.021812,0.031879,0.155669,F,F,1,K252240
F,40.0,19/12/97,34.266667,2.0,CAT 200,S80,167.0,1114.200001,62.0,112.200001,35.0,144.0,210.66507,15.447163,6.671856,1.809677,4.114286,264.0,1370.400002,5.190909,1581.065072,0.003787878788,MedHigh,170.400002,9.065236,15.447163,78.646684,228.646684,OK,0.144616,0.813047,0.081874,0.105079,0.153725,F,F,0,K136740
M,41.0,26/07/99,14.8,1.0,CAT 200,BS110,656.0,1047.600002,94.0,471.3,9.0,90.0,135.395658,33.757314,1.596951,5.01383,10.0,759.0,1608.900002,2.119763,1744.29566,0.0006587615283,MedHigh,408.900002,8.255641,33.757314,74.376012,224.376012,OK,0.128634,0.651128,0.292933,0.055939,0.084154,F,F,1,K235450
M,21.0,10/07/97,39.666667,0.0,Play 100,S80,91.0,158.4,136.0,384.9,21.0,35.499999,50.649549,0.0,1.740659,2.830147,1.690476,248.0,578.799999,2.333871,629.449548,0.0,Med,-21.200001,10.473393,0.0,20.25982,80.19982,OK,0.127413,0.27367,0.664997,0.061334,0.087508,F,F,0,K380340
M,49.0,21/06/98,28.133333,2.0,CAT 200,ASAD170,880.0,1608.6,1.0,49.8,0.0,0.0,444.281557,45.407762,1.827955,49.8,0.0,881.0,1658.4,1.882406,2102.681557,0.00113507378,MedHigh,458.4,9.849855,45.151737,178.436204,328.436204,OK,0.156199,0.969971,0.030029,0.0,0.267898,F,F,0,K121240
F,29.0,14/08/96,50.666667,2.0,CAT 200,S80,182.0,1745.400001,340.0,522.3,0.0,0.0,398.747163,94.502376,9.59011,1.536176,0.0,522.0,2267.700001,4.344253,2666.447164,0.001915708812,High,1067.700001,8.848393,94.474288,214.098437,364.098437,OK,0.136548,0.769679,0.230321,0.0,0.175838,F,F,0,K142890
M,23.0,26/04/96,54.333333,10.0,CAT 200,ASAD170,168.0,1775.4,104.0,617.1,49.0,75.6,265.840821,109.014673,10.567857,5.933654,1.542857,321.0,2468.1,7.688785,2733.940821,0.01557632399,High,1268.1,8.596694,109.014674,188.766921,338.766921,OK,0.123912,0.719339,0.25003,0.030631,0.107711,F,F,0,K195730
M,21.0,08/07/98,27.566667,1.0,Play 100,CAS30,18.0,41.400001,14.0,67.8,5.0,15.0,20.539905,0.0,2.3,4.842857,3.0,37.0,124.200001,3.356757,144.739906,0.01351351351,Low,-475.799999,11.666667,0.0,8.215962,68.155962,OK,0.470886,0.333333,0.545894,0.120773,0.165378,F,F,0,K212500
